"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1459",200380,"G49004900104113",490490104113,"11","1",49
"1460",200381,"G49004900105031",490490105031,"13","1",49
"1461",200382,"G49004900105032",490490105032,"41","6",49
"1462",200383,"G49004900105041",490490105041,"41","7",49
"1463",200384,"G49004900105042",490490105042,"19","2",49
"1464",200385,"G49004900105051",490490105051,"36","5",49
"1465",200386,"G49004900105052",490490105052,"49","8",49
"1466",200387,"G49004900105053",490490105053,"47","8",49
"1467",200388,"G49004900105061",490490105061,"50","8",49
"1468",200389,"G49004900105062",490490105062,"55","9",49
"1469",200390,"G49004900106001",490490106001,"22","3",49
"1470",200391,"G49004900106002",490490106002,"32","5",49
"1471",200392,"G49004900107001",490490107001,"26","3",49
"1472",200393,"G49004900107002",490490107002,"28","4",49
"1473",200394,"G49004900107003",490490107003,"36","5",49
"1474",200395,"G49004900109001",490490109001,"20","2",49
"1475",200396,"G49004900109002",490490109002,"11","1",49
"1476",200397,"G49004909801001",490499801001,"PH","PH",49
"1477",200398,"G49005109405001",490519405001,"9","1",49
"1478",200399,"G49005109405002",490519405002,"24","3",49
"1479",200400,"G49005109405003",490519405003,"24","3",49
"1480",200401,"G49005109405004",490519405004,"7","1",49
"1481",200402,"G49005109601001",490519601001,"42","7",49
"1482",200403,"G49005109601002",490519601002,"30","4",49
"1483",200404,"G49005109602001",490519602001,"23","3",49
"1484",200405,"G49005109602002",490519602002,"20","2",49
"1485",200406,"G49005109604001",490519604001,"14","1",49
"1486",200407,"G49005109604002",490519604002,"19","2",49
"1487",200408,"G49005302701001",490532701001,"23","3",49
"1488",200409,"G49005302701002",490532701002,"23","3",49
"1489",200410,"G49005302701003",490532701003,"28","4",49
"1490",200411,"G49005302701004",490532701004,"36","5",49
"1491",200412,"G49005302701005",490532701005,"39","6",49
"1492",200413,"G49005302702001",490532702001,"48","8",49
"1493",200414,"G49005302702002",490532702002,"48","8",49
"1494",200415,"G49005302703001",490532703001,"51","8",49
"1495",200416,"G49005302703002",490532703002,"39","6",49
"1496",200417,"G49005302703003",490532703003,"26","3",49
"1497",200418,"G49005302703004",490532703004,"25","3",49
"1498",200419,"G49005302704001",490532704001,"45","7",49
"1499",200420,"G49005302704002",490532704002,"24","3",49
"1500",200421,"G49005302705001",490532705001,"26","3",49
"1501",200422,"G49005302705002",490532705002,"31","4",49
"1502",200423,"G49005302705003",490532705003,"39","6",49
"1503",200424,"G49005302705004",490532705004,"18","2",49
"1504",200425,"G49005302706001",490532706001,"38","6",49
"1505",200426,"G49005302706002",490532706002,"37","6",49
"1506",200427,"G49005302706003",490532706003,"28","4",49
"1507",200428,"G49005302707001",490532707001,"24","3",49
"1508",200429,"G49005302707002",490532707002,"52","8",49
"1509",200430,"G49005302707003",490532707003,"44","7",49
"1510",200431,"G49005302707004",490532707004,"50","8",49
"1511",200432,"G49005302708011",490532708011,"19","2",49
"1512",200433,"G49005302708012",490532708012,"43","7",49
"1513",200434,"G49005302708013",490532708013,"54","9",49
"1514",200435,"G49005302708021",490532708021,"25","3",49
"1515",200436,"G49005302708022",490532708022,"58","9",49
